,Unnamed: 0,_id,ltable_movie_no,rtable_movie_no,ltable_movie_name,ltable_movie_year,ltable_movie_director,ltable_movie_star,rtable_movie_name,rtable_movie_year,rtable_movie_director,rtable_movie_star,label
284,284,422290,1020,1698,carol,2015,Todd Haynes,"Cate Blanchett, Rooney Mara, Sarah Paulson, Kyle Chandler",carol,2015,Todd Haynes,"Cate Blanchett, Kyle Chandler, Rooney Mara, Sarah Paulson, Jake Lacy, Cory Michael Smith, Carrie Brownstein, John Magaro, Blanca Camacho, Jayne Houdyshell, William Willet, Giedre Bond, Kevin Crowley, Jim Dougherty, Trent Rowland, Nik Pajic, Sadie Heim, Kennedy Heim, Amy Warner, Michael Haney, Wendy Lardin, Pamela Haynes, Greg Violand, Michael Ward, Kay Geiger, Christine Dye, Deb G. Girdler, Douglas Scott Sorenson, Ken Strunk, Mike Dennis, Ann Reskin, Annie Kalahurka, Linnea Bond, Steve Andrews, Tanya Smith, Ryan Gilreath, Chuck Gillespie, Jeremy Parker, Taylor Marie Frey",1
233,233,370500,103,1454,valerian and the city of a thousand planets,2017,Luc Besson,"Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna",valerian and the city of a thousand planets,2017,Luc Besson,"Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna, Ethan Hawke, Herbie Hancock, Kris Wu, Rutger Hauer",1
458,458,686567,1007,2637,the babadook,2014,Jennifer Kent,"Essie Davis, Noah Wiseman, Daniel Henshall, Hayley McElhinney",around the block,2014,Sarah Spillane,"Christina Ricci, Hunter Page-Lochard, Jack Thompson, Damian Walshe-Howling, Ruby Rose, Matt Nable, Mark Coles Smith, Daniel Henshall, Aaron McGrath, Amanda Wiltshire, Andrea Demetriades, Anthony Gee, Ash Ricardo, Billy McPherson, Bradan Pittman, Corey Carr, Damion Hunter, Elias Rees, Guy Simon, Jeremiah Pesa, Josh Quong Tart, Justin Smith, Lillian Crombie, Madeleine Madden, Marcello Fabrizi, Mark Brady, Nicholas Cassim, Niki Owen, Piper Morrissey, Rhiannon Myee, Sam Lyndon, Shai Pittman, Simone Armstrong, Sophie Gregg, Travis Cardona, Trevor Jamieson, Tyrus Shay, Ursula Yovich, Urshula Yovich, Yure Covich",0
64,64,89884,769,355,the 5th wave,2016,J Blakeson,"Chlo Grace Moretz, Matthew Zuk, Gabriela Lopez, Bailey Anne Borders",the 5th wave,2016,J Blakeson,"ChloÃ« Grace Moretz, Nick Robinson, Alex Roe, Liev Schreiber, Ron Livingston, Maika Monroe, Matthew Zuk, Maria Bello, Maggie Siff, Tony Revolori, Alex MacNicoll, Marc John Jefferies, Nadji Jeter, Talitha Bateman, Paul S. Ryden, E. Roger Mitchell, Terry Serpico, Charmin Lee, Bailey Anne Borders, Zackary Arthur, Parker Wierling, Madison Staines, Gabriela Lopez, Cade Canon Ball, Derek Roberts, Tara Jones, Hunter Denoyelles, Geoffrey Kennedy, Devin McGee, Justin Smith, Adora Dei, Kevin L. Johnson, Flynn McHugh, Courtney Munch, Kendrick Cross, Chelsea Hayes, Michael Beasley, Nick Glennie-Smith",1
403,403,620754,2074,2412,the infiltrator,2016,Brad Furman,"Bryan Cranston, John Leguizamo, Diane Kruger, Amy Ryan",the judge,2014,David Dobkin,"Robert Downey Jr., Robert Duvall, Vera Farmiga, Vincent D'Onofrio, Billy Bob Thornton, Leighton Meester, Jeremy Strong, Dax Shepard, Ken Howard, Emma Tremblay, Balthazar Getty, David Krumholtz, Grace Zabriskie, Denis O'Hare, Sarah Lancaster, Lonnie Farmer, Matt Riedy, Mark Kiely, Jeremy S. Holm, Catherine M. Cummings, Tamara Hickey, Paul-Emile Cendron, Ian Nelson, Carol S. Austin, Marcus D'Angelo, Michael Celata, Bobby Bryan, Cody Pettola, Johnny Orlando, Gary Wayne Farris, Ras Enoch McCurdie, Ian Blackman, John Talalas, Darryl Edwards, Joel Brady, Sarah Burns, Ara Glenn-Johanson, Ara Glenn, Kate Crowley, Peter Michael McDonald, Michael Patrick Kane, Lance Norris, Lenny Clarke, Frank Ridley, Duncan Putney, Pun Bandhu, Jamison Haase, Lucien Spelman, Timothy John Smith, Jonathan Ziese, Brian McGrail, Joyce Greenleaf, Enn Reitel",0
239,239,375386,1170,1473,the little hours,2017,Jeff Baena,"Alison Brie, Dave Franco, Kate Micucci, Aubrey Plaza",the founder,2017,John Lee Hancock,"Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini, Patrick Wilson, B.J. Novak, Laura Dern, Justin Randell Brooke, Kate Kneeland, Katie Kneeland, Griff Furst, Wilbur Fitzgerald, David Devries, Andrew Benator, Cara Mantella, Randall Taylor, Lacey King, Jeremy Madden, Rebecka Ray, Adam Rosenberg, Jacinte Blackenship, Jacinte Blankenship, Charles Green, David Silverman (XI), Mike Pniewski, Catherine Dyer, Susan Williams, Franco Castan, Kenny Alfonso, Kabby Borders, Valeri Rogers, Nicolette Goetz, Lauren Denham, Abbey Ferrell, Victor McCay, Steve Coulter, Ric Reitz, Joy Glover Walters, Makabe Ganey, Jody Thompson, Chris Greene, Conrad Whitaker, Afemo Omilami, Joshua Henry, Kim Banta, Devon Ogden, Gerald L. Duckworth, Jen Cohen, Jen Cohn",0
81,81,126574,2066,498,the walk,2015,Robert Zemeckis,"Joseph Gordon-Levitt, Charlotte Le Bon, Guillaume Baillargeon, milie Leclerc",the program,2016,Stephen Frears,"Ben Foster, Jesse Plemons, Chris O'Dowd, Dustin Hoffman, Lee Pace, Guillaume Canet, Denis MÇnochet, Laura Donnelly, Elaine Cassidy, J.D. Evermore, Sam Hoare, ChikÇ Okonkwo, Daniel Stewart, Ancuta Breaban, Jorge Leon Martinez, Barrie Martin, Todd Terry, Jay Moses, John Schwab, Nathan Wiley, Christy Meyers, JD Roth-round, Alex Dobrenko, Guy Potter, Lasco Atkins, Hugh O'brien, David G. Robinson, Lesa Thurman, James Harkness, Nicolas Robin, Alexander Bracq, Edward Hogg, Peter Wight, Chris Larkin, Mark Little, Michael G. Wilson, Sid Phoenix, Josh O'Connor, Saskia Reeves, Chloe Hayward, Adam Le Fevre, Brent Langdon, Julien Vialon, Yves Aubert, Paul Kelleher, Philippe Smolikowski, Lucien Guignard, David Bertrand, Sebastizn Gonzzlez, Simon Paisley Day, Geoffrey Freshwater, Joseph Cairns, Susan Snyder, Kari Kleiv, Nikos Poursanidis, Maria Teresa Creasey, Shellia Kennedy, Rosa Bursztein, Denton Blane Everett, Greg Dorchak, Ian Knauer, Gary Weekes, Maud Kleszcz Luszczynski, Andreas Klier, Thomas Dekker, Liam Holohan, Yanto Barker, Colton Jarisch, Joan Horrach, Hugh Wilson, Dirk Bellemakers, Kristian House, SeServais Knaven, Kevin Hulsmans",0
363,363,541414,2450,2124,the family,2013,Luc Besson,"Robert De Niro, Michelle Pfeiffer, Dianna Agron, John D'Leo",the invisible woman,2013,Ralph Fiennes,"Ralph Fiennes, Felicity Jones, Kristin Scott Thomas, Tom Hollander, Michael Marcus, Joanna Scanlan, Perdita Weeks, Tom Burke, John Kavanagh, Amanda Hale, Michelle Fairley",0
308,308,451310,2283,1808,the paperboy,2012,Lee Daniels,"Matthew McConaughey, Nicole Kidman, John Cusack, Zac Efron",beyond the edge,2014,Leanne Pooley,"Chad Moffitt, Sonam P. Sherpa, John Wraight, Joshua Rutter, Dan Musgrove, Erroll Shand, Phurenje Tshering, Jimmy Kunsang, Calum Grant, Matthew Metcalfe, Dawa Sherpa, Nima Wangchhu Sherpa",0
428,428,662098,2282,2545,amityville: the awakening,2017,Franck Khalfoun,"Jennifer Jason Leigh, Bella Thorne, Mckenna Grace, Cameron Monaghan",the rewrite,2015,Marc Lawrence,"Hugh Grant, Marisa Tomei, Bella Heathcote, Allison Janney, J.K. Simmons, Chris Elliott, Whit Baldwin, Vanessa Wasche, Enid Graham, Shannon C. Sullivan, Jason Antoon, Jenny Neale, Caroline Aaron, Billy Griffith, Kevin Kennedy, Ali Merhi, Lily Wen, Olivia Luccardi, John Deyle, Mark Nelson, Bruce Sabath, Karen Pittman, Veanne Cox, Maggie Geha, Damaris Lewis, Lauren Macklin, Nicole Patrick, Emily Morden, Annie Qian, Aja Naomi King, Andrew Keenan-Bolger, Steven Kaplan, Kate Cullen Roberts, Jeff Chena, Lauren Palmer, Ella Rubin, Ann S. Lawrence, Frank Harts, Kevin Carolan, Christina Pawl, Liz Callaway, Sean Patrick McGowan, Rebecca Luker, Sanjiv Jhaveri",0
480,480,725706,394,2791,the house,2017,Andrew Jay Cohen,"Will Ferrell, Amy Poehler, Ryan Simpkins, Jason Mantzoukas",the family fang,2016,Jason Bateman,"Nicole Kidman, Jason Bateman, Christopher Walken, Maryann Plunkett, Jason Butler Harner, Kathryn Hahn, Eugenia Kuzmina, Linda Emond, Marin Ireland, Josh Pais, Michael Chernus, Mackenzie Brooke Smith, Suzan Perry, Jaiden Kaine, Robbie Tann, Scott Shepherd, Grainger Hines, Taylor Rose, Claire Glassford, Frank Harts, Steve Witting, Gabriel Ebert, Ethan Coskay, Danny Burstein, Venus Ariel, Genevieve Adams, Abigail Friend, Kevin T. Collins, Jack McCarthy, Seth Barrish, Kyle Donnery, Brian Carter, MaameYaa Boafo, Ryan DeLuca, Brian J. Carter, Audrey Lynn Weston, Edward Mitchell, Joe Lanza, Allison Jean White, Ashlynn Alexander, Patrick Mitchell, Justin Arnold, Adam Shippey, Dylan Page, David Kubicka, Frankie Verroca, Kent vanKuller, Luca Bello, John Tarry, Samantha Hlavacek, Jeremy Kruse, Guy Veryzer, Paige Rossi, Isaac Galizio, Zariah Singletary, Anthony Ferrara, Jason Zell",0
476,476,723096,1680,2770,the first time,2012,Jon Kasdan,"Dylan O'Brien, Britt Robertson, Victoria Justice, James Frecheville",the drop,2014,MichaÂ«l R. Roskam,"Tom Hardy, Noomi Rapace, Matthias Schoenaerts, James Gandolfini, Michael Esper, Mike Houston, Morgan Spector, Chris Sullivan (XII), John Ortiz, Ann Dowd, James Frecheville, Elizabeth Rodriguez, Michael Aronov, Ross Bickell, Tobias Segal, Patricia Squire, Lucas Caleb Rooney, Jeremy Bobb, James Colby, Michael J. O'Hara, Scott Johnsen, Dave Brown, Jessica Tate, John Di Benedetto, Robert Turano, Erin Darke, Khan Baykal, Jack Dimich, Danny McCarthy, Cathy Trien",0
160,160,233608,1159,906,the duff,2015,Ari Sandel,"Mae Whitman, Bella Thorne, Robbie Amell, Allison Janney",amityville: the awakening,2017,Franck Khalfoun,"Jennifer Jason Leigh, Bella Thorne, Cameron Monaghan, Kurtwood Smith, Taylor Spreitler, McKenna Grace, Jennifer Morrison",0
487,487,731441,748,2820,the great wall,2016,Yimou Zhang,"Matt Damon, Tian Jing, Willem Dafoe, Andy Lau",the adventurers,2017,Stephen Fung,"Andy Lau, Qi Shu, Jean Reno, Eric Tsang, Jingchu Zhang, Yo Wang, Sha Yi, Zhang Yiqun, Tony Yang, Karel Dobry",0
371,371,554929,710,2177,jeepers creepers iii,2017,Victor Salva,"Stan Shaw, Gabrielle Haugh, Brandon Smith, Meg Foster",jeepers creepers 3,2017,Victor Salva,"Chester Rushing, Gabrielle Haugh, Meg Foster, Ryan Moore, Gina Philips, Justin Hall, Stan Shaw, Brandon Smith, Jonathan Breck",1
250,250,382980,1711,1500,vampire academy,2014,Mark Waters,"Zoey Deutch, Lucy Fry, Danila Kozlovsky, Gabriel Byrne",vampire academy,2014,Mark Waters,"Zoey Deutch, Lucy Fry, Danila Kozlovsky, Gabriel Byrne, Sarah Hyland, Joely Richardson, Cameron Monaghan, Sami Gayle, Ashley Charles, Claire Foy, Dominic Sherwood, Chris Mason Johnson, Ben Peel, Olga Kurylenko, Rolfe Kent",1
213,213,330922,397,1316,the lost city of z,2016,James Gray,"Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland",queen of the desert,2017,Werner Herzog,"Nicole Kidman, James Franco, Damian Lewis, Robert Pattinson, Jay Abdo, Jenny Agutter, David Calder, Christopher Fulford, Holly Earl, Mark Lewis Jones, Beth Goddard, Sophie Linfield, Younes Benzakour, Nadia Niazi",0
245,245,377098,909,1481,the bfg,2016,Steven Spielberg,"Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement",the bfg,2016,Steven Spielberg,"Ruby Barnhill, Mark Rylance, Rebecca Hall, Penelope Wilton, Jemaine Clement, Olafur Darri Olafsson, Bill Hader, Adam Godley, Michael D. Adamthwaite, Rafe Spall, Daniel Bacon, Jonathan Holmes, Chris Gibbs, Paul Moniz de Sa, Marilyn Norry, Callum Seagram Airlie, Haig Sutherland, Shauna Hansen, Denise Jones, Gabrielle Rose, Anthony Ingram, Chris Shields, Matt Frewer, Geoffrey Wade, John Emmet Tracy, William Samples, Andy Thompson, Paul Stuart Barnhill, Paul Barnhill, Lucia Ryan, Julia Torrance, Julia Elizabeth Torrance, Cal Davis, Kyle Maloney, Michael McLeod, David Orr, Zachary Read, David Glover, Joshua Callagan, Todd Biffard",1
51,51,71319,1773,283,the visit,2015,M. Night Shyamalan,"Olivia DeJonge, Ed Oxenbould, Deanna Dunagan, Peter McRobbie",the dressmaker,2016,Jocelyn Moorhouse,"Kate Winslet, Liam Hemsworth, Hugo Weaving, Sarah Snook, Judy Davis, Caroline Goodall, Julia Blake, Shane Jacobson, Kerry Fox, Rebecca Gibney, James MacKay, Gyton Grantley, Barry Otto, Sacha Horler, Hayley Magnus, Alison Whyte, Shane Bourne, Olivia Sprague, Rachael Lorenz, GeneviÃ¨ve Lemon, Beulah Harridene, Muriel Pratt, Tracy Harvey, Simon Maiden, Terry Norris, Rory Potter, Darcey Wilson, Mark Leonard Winter, Eric Beach, Amanda Woodhams, Ed McSwiney, Stan Leman, Madeleine Hogan, Sage Barreda, Caroline Lee, Gregory Quinn, GeneviÃ¨ve Picot, Margot Knight, Jason Buckley, Fletcher Humphrys, Lucy Moir, Katia Nizic, Grace Rosebirch, Spike Hogan, Roy Barker, Alex DeVos, Judah Hobbs, Lanie Lane, Sandra Talty, Howard Cairns, Malcolm Cole, Simon Farrow, Richard Anastasios, Mike Snow, Adrienne Pickering, Charlotte Friels",0
236,236,371543,1154,1456,how to train your dragon 2,2014,Dean DeBlois,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson",how to train your dragon 2,2014,Dean DeBlois,"Jay Baruchel, Gerard Butler, America Ferrera, Jonah Hill, Christopher Mintz-Plasse, Craig Ferguson, Kristen Wiig, T.J. Miller, Kit Harington, Cate Blanchett, Djimon Hounsou, Andrew Ableson, Gideon Emery, Simon Kassianides",1
350,350,523826,2843,2066,shin godzilla,2016,"Hideaki Anno, Shinji Higuchi","Hiroki Hasegawa, Yutaka Takenouchi, Satomi Ishihara, Ren Osugi",godzilla resurgence,2016,"Hideaki Anno, Shinji Higuchi","Hiroki Hasegawa, Satomi Ishihara, Yutaka Takenouchi, Ren Osugi, Akira Emoto",1
339,339,507749,165,2014,the theory of everything,2014,James Marsh,"Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry",the childhood of a leader,2016,Brady Corbet,"BÂ­‚Â©rÂ­‚Â©nice Bejo, Liam Cunningham, Stacy Martin, Yolande Moreau, Jacques Boudet, Robert Pattinson, Tom Sweet, Sophie Curtis, Rebecca Dayan, Michael Epp, Kata PetÂ­‚Âµ, Mark Phelan, Jeremy Wheeler, Roderick Hill, Luca Bercovici, Caroline Boulton, MÂ­Â§tÂ­‚Â© Haumann, Blanka Gyorfy, IrÂ­‚Â©n BordÂ­Â§n, Attila BardÂ­_czy, Attila TÂ­_th, Adelaide Fastvold",0
164,164,243511,394,957,the house,2017,Andrew Jay Cohen,"Will Ferrell, Amy Poehler, Ryan Simpkins, Jason Mantzoukas",the night before,2015,Jonathan Levine,"Joseph Gordon-Levitt, Seth Rogen, Anthony Mackie, Lizzy Caplan, Jillian Bell, Michael Shannon, Mindy Kaling, Lorraine Toussaint, Tracy Morgan, Kanye West, HelÃ©ne Yorke, Aaron Hill, Ilana Glazer, Darrie Lawrence, Nathan Fielder, James Franco, Miley Cyrus, Kamal Angelo Bolden, Baron Davis, Chuck Muckle, Curt Bouril, Brooke Liddell, Kiley Liddell, Jason Mantzoukas, Jason Jones, Clem Cheung, Harolyn Blackwell, Randall Park, Natalie Knepp, Cameron Earl Thrift, Jeremy Vimes, Gabriel Long, Michaela Sprague, Euan Morton, Marilyn O'Connell, Richard Hughes, Theodora Woolley, Stacy Jones, Jamie Arentzen, Jaco Caraco, Mike Schmid, Vashon Johnson, Julia Ross, Danielle Elliott, Brett Weymark",0
106,106,155661,394,600,the house,2017,Andrew Jay Cohen,"Will Ferrell, Amy Poehler, Ryan Simpkins, Jason Mantzoukas",the nice guys,2016,Shane Black,"Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer, Margaret Qualley, Yaya DaCosta, Keith David, Beau Knapp, Lois Smith, Murielle Telio, Gil Gerard, Daisy Tahan, Kim Basinger, Jack Kilmer, Ty Simpkins",0
320,320,474561,1585,1892,the best of me,2014,Michael Hoffman,"James Marsden, Michelle Monaghan, Luke Bracey, Liana Liberato",the hobbit: the battle of the five armies,2014,Peter Jackson,"Martin Freeman, Ian McKellen, Richard Armitage, Ian Holm, Elijah Wood, Cate Blanchett, John Callen, Stephen Hunter, Mark Hadlow, Andy Serkis, Peter Hambleton, James Nesbitt, Adam Brown, Aidan Turner, Graham McTavish, Bret McKenzie, Dean O'Gorman, Lee Pace, Stephen Fry, Orlando Bloom, Luke Evans, Evangeline Lilly, Barry Humphries, Benedict Cumberbatch, Ken Stott, William Kircher, Jed Brophy, Hugo Weaving, Christopher Lee, Mikael Persbrandt, Ryan Gage, John Bell, Peggy Nesbitt, Mary Nesbitt, Manu Bennett, John Tui, Billy Connolly, Mark Mitchinson, Kelly Kilgour, Sarah Peirse, Nick Blake, Simon London, Conan Stevens, Dane Allan Smith, Miranda Harcourt, Thomasin McKenzie, Erin Banks, Brian Hotter, Timothy Bartlett, Merv Smith, Martin Kwok, Dee Bradley Baker, Olof Johnsson, Otep Shamaya, Debra Wilson, Sylvester McCoy",0
63,63,87969,371,353,the boss baby,2017,Tom McGrath,"Alec Baldwin, Steve Buscemi, Jimmy Kimmel, Lisa Kudrow",the boss baby,2017,Tom McGrath,"Alec Baldwin, Steve Buscemi, Jimmy Kimmel, Lisa Kudrow, Miles Christopher Bakshi, James McGrath, Conrad Vernon, ViviAnn Yee, Eric Bell Jr., David Soren, Eric Bell, Jr., Edie Mirman, James Ryan, Walt Dohrn, Jules Winter, Nina Zoe Bakshi, Tom McGrath, Brian Hopkins, Glenn Harmon, Joseph Izzo, Chris Miller, Andrea Montana Knoll, Christopher Miller, Chloe Albrecht, Tobey Maguire",1
351,351,523982,2795,2070,the hero,2017,Brett Haley,"Sam Elliott, Laura Prepon, Krysten Ritter, Nick Offerman",the good dinosaur,2015,Peter Sohn,"Raymond Ochoa, Jeffrey Wright, Frances McDormand, Steve Zahn, A.J. Buckley, Anna Paquin, Sam Elliott, Alan Tudyk, Marcus Scribner, Jack Bright, Maleah Nipay Padilla, Ryan Teeple, Jack McGraw, Peter Sohn, Mandy Freund, Steven Clay Hunter, David Boat, Carrie Paff, Calum Mackenzie Grant, John Ratzenberger, Nicolas Dodd",0
186,186,286414,1159,1112,the duff,2015,Ari Sandel,"Mae Whitman, Bella Thorne, Robbie Amell, Allison Janney",the babysitter,2017,McG,"Bella Thorne, Samara Weaving, Robbie Amell, Hana Mae Lee, Andrew Bachelor, Judah Lewis, Leslie Bibb",0
436,436,667285,105,2577,suicide squad,2016,David Ayer,"Will Smith, Jared Leto, Margot Robbie, Viola Davis",suicide squad,2016,David Ayer,"Will Smith, Jared Leto, Margot Robbie, Joel Kinnaman, Viola Davis, Cara Delevingne, Jai Courtney, Adewale Akinnuoye-Agbaje, Jay Hernandez, Karen Fukuhara, Adam Beach, Jaime FitzSimons, Ike Barinholtz, Christopher Dyson, Bambadjan Bamba, Ted Whittall, David Harbour, Robin Atkin Downes, Robert B. Kennedy, Billy Otis, Shai Pierre-Dixon, James McGowan, Jim Parrack, Derek Perks, Common, Ezra Miller, Aidan Devine, Clive McLean, Frank Zupancic, Kent Sheridan, Roger Shank, Dwight Ireland, Amanda Brugel, Tufford Kennedy, Rosemary DeLosSantos, Kevin Hanchard, Alain Chanoine, Joel Lacoursiere, Jameson Kraemer, Ho Chow, Matt Baram, Birgitte Solem, Scott Eastwood, Kevin Vance, Alex Meraz, Tyler Grey, Nathaniel Brown, Kenneth Choi, Nicholas Van Burek, Agueda Cardenas, Corina Calderon, Daniela Uruena, Nicolas Uruena",1
471,471,715507,376,2746,maze runner: the scorch trials,2015,Wes Ball,"Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Giancarlo Esposito",maze runner: the scorch trials,2015,Wes Ball,"Dylan O'Brien (II), Thomas Sangster, Kaya Scodelario, Aidan Gillen, Aiden Gillen, Ki Hong Lee, Giancarlo Esposito, Barry Pepper, Lili Taylor, Patricia Clarkson, Dexter Darden, Alexander Flores, Jacob Lofland, Rosa Salazar, Terry Dale Parks, Kathryn Smith-McGlynn, J. Nathan Simmons, Matthew T. Metzler, Alan Tudyk, Jenny Gabrielle, David House, Lora Martinez Cunningham, Luke Gallegos, Shawn Prince, Jeremy Becerra, Matthew Page, Alex Knight, Marc Comstock, Brandon Hampton, John Trejo, Tatanka Means, Katherine McNamara, Ryan Jason Cook, James Burnett, Morse Bicknell, Pete Anthony",1
