,_id,ltable_movie_no,rtable_movie_no,ltable_movie_name,ltable_movie_year,ltable_movie_director,ltable_movie_star,rtable_movie_name,rtable_movie_year,rtable_movie_director,rtable_movie_star
350,523826,2843,2066,shin godzilla,2016,"Hideaki Anno, Shinji Higuchi","Hiroki Hasegawa, Yutaka Takenouchi, Satomi Ishihara, Ren Osugi",godzilla resurgence,2016,"Hideaki Anno, Shinji Higuchi","Hiroki Hasegawa, Satomi Ishihara, Yutaka Takenouchi, Ren Osugi, Akira Emoto"
351,523982,2795,2070,the hero,2017,Brett Haley,"Sam Elliott, Laura Prepon, Krysten Ritter, Nick Offerman",the good dinosaur,2015,Peter Sohn,"Raymond Ochoa, Jeffrey Wright, Frances McDormand, Steve Zahn, A.J. Buckley, Anna Paquin, Sam Elliott, Alan Tudyk, Marcus Scribner, Jack Bright, Maleah Nipay Padilla, Ryan Teeple, Jack McGraw, Peter Sohn, Mandy Freund, Steven Clay Hunter, David Boat, Carrie Paff, Calum Mackenzie Grant, John Ratzenberger, Nicolas Dodd"
352,524302,871,2070,the shack,2017,Stuart Hazeldine,"Sam Worthington, Octavia Spencer, Tim McGraw, Radha Mitchell",the good dinosaur,2015,Peter Sohn,"Raymond Ochoa, Jeffrey Wright, Frances McDormand, Steve Zahn, A.J. Buckley, Anna Paquin, Sam Elliott, Alan Tudyk, Marcus Scribner, Jack Bright, Maleah Nipay Padilla, Ryan Teeple, Jack McGraw, Peter Sohn, Mandy Freund, Steven Clay Hunter, David Boat, Carrie Paff, Calum Mackenzie Grant, John Ratzenberger, Nicolas Dodd"
353,524656,1908,2070,the good dinosaur,2015,Peter Sohn,"Jeffrey Wright, Frances McDormand, Maleah Nipay-Padilla, Ryan Teeple",the good dinosaur,2015,Peter Sohn,"Raymond Ochoa, Jeffrey Wright, Frances McDormand, Steve Zahn, A.J. Buckley, Anna Paquin, Sam Elliott, Alan Tudyk, Marcus Scribner, Jack Bright, Maleah Nipay Padilla, Ryan Teeple, Jack McGraw, Peter Sohn, Mandy Freund, Steven Clay Hunter, David Boat, Carrie Paff, Calum Mackenzie Grant, John Ratzenberger, Nicolas Dodd"
354,526144,2224,2076,the current war,2017,Alfonso Gomez-Rejon,"Tom Holland, Katherine Waterston, Benedict Cumberbatch, Michael Shannon",the squeeze,2015,Terry Jastrow,"Jeremy Sumpter, Christopher McDonald, Jillian Murray, Katherine LaNasa, Jason Dohring, Michael Nouri, Mekia Cox, Michael Beasley, David O'Donnell, Rochelle Aycoth, Tim Ware, Sainty Nelsen, J. Teddy Garces, Elliott Grey, Michael Harding"
355,526966,914,2077,the glass castle,2017,Destin Daniel Cretton,"Brie Larson, Woody Harrelson, Naomi Watts, Ella Anderson",the 33,2015,"Patricia Riggen, Patricia Richardson","Antonio Banderas, Rodrigo Santoro, James Brolin, Juliette Binoche, Cote de Pablo, Juan Pablo Raba, Kate del Castillo, Adriana Barraza, Lou Diamond Phillips, Gabriel Byrne, Naomi Scott, Bob Gunton, Paulina García, Don Francisco, Mario Casas, Jacob Vargas, Oscar Nunez, Tenoch Huerta Mejía, Marco Antonio Treviño, Elizabeth DeRazzo, Gustavo Angarita, Alejandro Goic, Raoul Pinno, Mario Zaragoza, Cristián Campos, Jorge Diaz, Juan Pablo Auger, Leonardo Farkas, Fran Concha, Diego Noguera, Sebastian Apiolaza, Jorge Godoy, Marcelo Gutierrez, Carlos Talamilla, Trinidad González, Fernanda Ramirez, Orlando Alfaro, Felipe Álvarez, Ignacio DeVries, Luis Chaparro, Henri Bravo, Jaime Correa, Juan Carlos Solarte, William Winston, Santiago Carreno, Miguel Sierra, Nicolas Troya, Fernando Monge, Fredy Yate, Pedro Calvo, Henry Ortiz, Erik Rodriguez, Edwar Silva, Fernando Esterilla, Karolina Gonzalez, Ángela García, Daian Parra, Sojana Ortiz, Lorena García, Rosa Garavito DeVargas, Montserrat Alvarez, Alexis Catepanopolus, Tim Willcox, Anderson Cooper, Michel Floquet, Salma AlJamal, Mario Kreutzberger, Habib Ghribi"
356,527009,1037,2077,the other woman,2014,Nick Cassavetes,"Cameron Diaz, Leslie Mann, Kate Upton, Nikolaj Coster-Waldau",the 33,2015,"Patricia Riggen, Patricia Richardson","Antonio Banderas, Rodrigo Santoro, James Brolin, Juliette Binoche, Cote de Pablo, Juan Pablo Raba, Kate del Castillo, Adriana Barraza, Lou Diamond Phillips, Gabriel Byrne, Naomi Scott, Bob Gunton, Paulina García, Don Francisco, Mario Casas, Jacob Vargas, Oscar Nunez, Tenoch Huerta Mejía, Marco Antonio Treviño, Elizabeth DeRazzo, Gustavo Angarita, Alejandro Goic, Raoul Pinno, Mario Zaragoza, Cristián Campos, Jorge Diaz, Juan Pablo Auger, Leonardo Farkas, Fran Concha, Diego Noguera, Sebastian Apiolaza, Jorge Godoy, Marcelo Gutierrez, Carlos Talamilla, Trinidad González, Fernanda Ramirez, Orlando Alfaro, Felipe Álvarez, Ignacio DeVries, Luis Chaparro, Henri Bravo, Jaime Correa, Juan Carlos Solarte, William Winston, Santiago Carreno, Miguel Sierra, Nicolas Troya, Fernando Monge, Fredy Yate, Pedro Calvo, Henry Ortiz, Erik Rodriguez, Edwar Silva, Fernando Esterilla, Karolina Gonzalez, Ángela García, Daian Parra, Sojana Ortiz, Lorena García, Rosa Garavito DeVargas, Montserrat Alvarez, Alexis Catepanopolus, Tim Willcox, Anderson Cooper, Michel Floquet, Salma AlJamal, Mario Kreutzberger, Habib Ghribi"
357,530514,2283,2084,the paperboy,2012,Lee Daniels,"Matthew McConaughey, Nicole Kidman, John Cusack, Zac Efron",the starving games,2013,"Jason Friedberg, Aaron Seltzer","Maiara Walsh, Brant Daugherty, Cody Christian, Ross Wyngaarden, Dean West, Diedrich Bader, Joseph Aviel, Lauren Bowles, Alexandria Deberry, Roberts, Jade, Christopher Matthew Cook, Chris Marroy, Juhahn Jones, Eric Buarque, Alice Ford, Theodus Crane, Beau Brasso, Jason Stanly, Taylor Ashley Murphy, Robert Steinberg, Jerrad Vunovich, Gene Williams, Trenton Rostedt, Kennedy Hermansen, Bryan McClure, Danny Cosmo, Gene Kevin Hames Jr., Shawn Carter Peterson, Aaron Jay Rome, Donna Hubbs, Kyle deKay, Erin Rementer, Sarah Reid Vinyard, Jordan Salloum, Katherine Jeanie Russell, Ian Casselberry, Emily D. Haley, Rhonda Laizer, Jesse Yarborough, Joshua Mueller, Eryn L. Davis, Michael Hartson, Jamie Johansson, Walker Anderson, Timmons Moore, John Wettermark, Daylon Micah Othello, Emily Jessie Thomas, Clint Michael Naquin, Chris Angerdina, Darren Drude, Wayne Xia, Nick Gomez"
358,530677,1818,2084,the judge,2014,David Dobkin,"Robert Downey Jr., Robert Duvall, Vera Farmiga, Billy Bob Thornton",the starving games,2013,"Jason Friedberg, Aaron Seltzer","Maiara Walsh, Brant Daugherty, Cody Christian, Ross Wyngaarden, Dean West, Diedrich Bader, Joseph Aviel, Lauren Bowles, Alexandria Deberry, Roberts, Jade, Christopher Matthew Cook, Chris Marroy, Juhahn Jones, Eric Buarque, Alice Ford, Theodus Crane, Beau Brasso, Jason Stanly, Taylor Ashley Murphy, Robert Steinberg, Jerrad Vunovich, Gene Williams, Trenton Rostedt, Kennedy Hermansen, Bryan McClure, Danny Cosmo, Gene Kevin Hames Jr., Shawn Carter Peterson, Aaron Jay Rome, Donna Hubbs, Kyle deKay, Erin Rementer, Sarah Reid Vinyard, Jordan Salloum, Katherine Jeanie Russell, Ian Casselberry, Emily D. Haley, Rhonda Laizer, Jesse Yarborough, Joshua Mueller, Eryn L. Davis, Michael Hartson, Jamie Johansson, Walker Anderson, Timmons Moore, John Wettermark, Daylon Micah Othello, Emily Jessie Thomas, Clint Michael Naquin, Chris Angerdina, Darren Drude, Wayne Xia, Nick Gomez"
359,535016,617,2100,the accountant,2016,Gavin O'Connor,"Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal",the late bloomer,2016,Kevin Pollak,"Johnny Simmons, Maria Bello, Brittany Snow, Jane Lynch, J.K. Simmons, Kumail Nanjiani, Beck Bennett, Paul Wesley (II), Charlotte McKinney, Illeana Douglas, Lenora Crichlow, Blake Cooper, Maggie De Leonardis, Lauren Shaw, Jason Antoon, Diana Lubenova, Joey Greer, Matt Jones (XLVIII), Jason Anton, Sam Robards, Ann Tierney, Greg Cromer, Leonard Cataudella, Vanessa Ragland, Roxanna Dunlop, Tracy McKay, Kate Connor, Glozell Green, Ken Marino, Laraine Newman, Paige Tierney, Teodor Grazev, Sofia Weldon, Sam Kryszek, Brian Doyle Murray, Nathan Cooper, Bobby Flay, Abraham McKay, Nicholas Cobble, BJ Tanner"
360,537343,1090,2105,24 hours to live,2017,Brian Smrz,"Paul Anderson, Ethan Hawke, Rutger Hauer, Liam Cunningham",24 hours to live,2017,Brian Smrz,"Ethan Hawke, Xu Qing, Liam Cunningham, Rutger Hauer, Paul Anderson (XVIII), Nathalie Boltt"
361,538009,2229,2116,the iceman,2012,Ariel Vromen,"Michael Shannon, Chris Evans, James Franco, Winona Ryder",the identical,2014,Dustin Marcellino,"Ray Liotta, Ashley Judd, Seth Green, Joe Pantoliano, Blake Rayne, Erin Cottrell, Brian Geraghty, Amanda Crew, Waylon Payne, Danny Woodburn, Chris Mulkey, Noah Urrea, Gary Beaty, Caylin Cervetti, Ken Dodge, Johanna Goldstein, Joanne Goldstein, Michael Johnson, Brad Jones, Howard Klausner, Yochanan Marcellino, Joe McDougall, William McKinney, Leslie Mills, Ian Mitchell, Brad Naylor, John Newberg, Chris Finley, Cole Schaefer, Chris Scruggs, Lisa Stewart Seals, Kevin Shelley, Kevin Shell, Jacqueline Steele, J. Karen Thomas, Jeremy Walker, Michael Joiner, Wade Cummins, James Carslake, Raquel Payne, Katie Freeman, Nathan Clark George, Shelly Justice, Hunter Mobley"
362,538151,1226,2116,the interview,2014,"Evan Goldberg, Seth Rogen","James Franco, Seth Rogen, Randall Park, Lizzy Caplan",the identical,2014,Dustin Marcellino,"Ray Liotta, Ashley Judd, Seth Green, Joe Pantoliano, Blake Rayne, Erin Cottrell, Brian Geraghty, Amanda Crew, Waylon Payne, Danny Woodburn, Chris Mulkey, Noah Urrea, Gary Beaty, Caylin Cervetti, Ken Dodge, Johanna Goldstein, Joanne Goldstein, Michael Johnson, Brad Jones, Howard Klausner, Yochanan Marcellino, Joe McDougall, William McKinney, Leslie Mills, Ian Mitchell, Brad Naylor, John Newberg, Chris Finley, Cole Schaefer, Chris Scruggs, Lisa Stewart Seals, Kevin Shelley, Kevin Shell, Jacqueline Steele, J. Karen Thomas, Jeremy Walker, Michael Joiner, Wade Cummins, James Carslake, Raquel Payne, Katie Freeman, Nathan Clark George, Shelly Justice, Hunter Mobley"
363,541414,2450,2124,the family,2013,Luc Besson,"Robert De Niro, Michelle Pfeiffer, Dianna Agron, John D'Leo",the invisible woman,2013,Ralph Fiennes,"Ralph Fiennes, Felicity Jones, Kristin Scott Thomas, Tom Hollander, Michael Marcus, Joanna Scanlan, Perdita Weeks, Tom Burke, John Kavanagh, Amanda Hale, Michelle Fairley"
364,545592,2477,2145,goon: last of the enforcers,2017,Jay Baruchel,"Seann William Scott, Alison Pill, Marc-Andr Grondin, Liev Schreiber",the age of adaline,2015,Lee Toland Krieger,"Blake Lively, Michiel Huisman, Harrison Ford, Ellen Burstyn, Kathy Baker, Amanda Crew, Linda Boyd, Hugh Ross, Richard Harmon, Fulvio Cecere, Anjali Jay, Hiro Kanagawa, Peter James Grey, Izabel A. Pearce, Cate Richardson, Jane Craven, Noel Johansen, Aaron Craven, Primo Allon, Darren Dolynski, Chris William Martin, Mark Ghanimé, Shaker Paleja, Daniel Bacon, Barclay Hope, Robert Maloney, Deejay Jackson, Lane Edwards, Tony Levins, Anthony Ingruber, Keith McCafferty, Serge Houde, Alison Wandruza, Alison Wandzura, Demord Dann, Grace Chin"
365,545764,2789,2145,the siege of jadotville,2016,Richie Smyth,"Richard Lukunku, Danny Sapani, Andrew Stock, Mark Strong",the age of adaline,2015,Lee Toland Krieger,"Blake Lively, Michiel Huisman, Harrison Ford, Ellen Burstyn, Kathy Baker, Amanda Crew, Linda Boyd, Hugh Ross, Richard Harmon, Fulvio Cecere, Anjali Jay, Hiro Kanagawa, Peter James Grey, Izabel A. Pearce, Cate Richardson, Jane Craven, Noel Johansen, Aaron Craven, Primo Allon, Darren Dolynski, Chris William Martin, Mark Ghanimé, Shaker Paleja, Daniel Bacon, Barclay Hope, Robert Maloney, Deejay Jackson, Lane Edwards, Tony Levins, Anthony Ingruber, Keith McCafferty, Serge Houde, Alison Wandruza, Alison Wandzura, Demord Dann, Grace Chin"
366,548649,785,2154,the belko experiment,2016,Greg McLean,"John Gallagher Jr., Tony Goldwyn, Adria Arjona, John C. McGinley",the babadook,2014,Jennifer Kent,"Essie Davis, Barbara West, Daniel Henshall, Hayley McElhinney, Tim Purcell, Noah Wiseman, Tiffany Lyndall-Knight, Cathy Adamek, Peta Shannon, Benjamin Winspear, Michael Gilmour, Adam Morgan, John Maurice Sullivan, Craig Behenna, Terence Crawford, Carmel Johnson, Lise Hachi, Michelle Nightingale, Pippa Wanganeen, Pippa Wanganeeh, Chloe Hurn, Lotte Crawford, Stephen Sheehan, Lucy Hong, Chris Roberts, Tony Mack, Sophie Riggs, Craig McArdle, Sophie Allan, Bridget Walters, Isla Zorkovic, Ethan Grabis, Jacqy Phillips, Annie Batten, India Zorkovic, Charlie Crabtree"
367,548736,990,2154,the founder,2016,John Lee Hancock,"Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini",the babadook,2014,Jennifer Kent,"Essie Davis, Barbara West, Daniel Henshall, Hayley McElhinney, Tim Purcell, Noah Wiseman, Tiffany Lyndall-Knight, Cathy Adamek, Peta Shannon, Benjamin Winspear, Michael Gilmour, Adam Morgan, John Maurice Sullivan, Craig Behenna, Terence Crawford, Carmel Johnson, Lise Hachi, Michelle Nightingale, Pippa Wanganeen, Pippa Wanganeeh, Chloe Hurn, Lotte Crawford, Stephen Sheehan, Lucy Hong, Chris Roberts, Tony Mack, Sophie Riggs, Craig McArdle, Sophie Allan, Bridget Walters, Isla Zorkovic, Ethan Grabis, Jacqy Phillips, Annie Batten, India Zorkovic, Charlie Crabtree"
368,549416,2730,2155,the young offenders,2016,Peter Foott,"Alex Murphy, Chris Walley, Hilary Rose, Dominic MacHale",the equalizer,2014,Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour, Bill Pullman, Melissa Leo, Haley Bennett, David Meunier, Johnny Skourtis, Alex Veadov, Vladimir Kulich, E. Roger Mitchell, James Wilcox, Mike P. O'Dea, Anastasia Mousis, Allen Maldonado, Chris Lemieux, Mike Morrell, Matt Lasky, Shawn Fitzgibbon, Vitaliy Shtabnoy, Timothy John Smith, Timothy Smith, Robert Wahlberg, Steve Sweeney, Owen Burke, Luz Sanchez, John Romauldi, Johnny Messner, Patrick Coppola, William Xifaras, Jenny Johnson, Peter Haydu, Tait Fletcher, Mark Stefanich, Dan Bilzerian, Matthew Leonard, Elisala Baker, Yan Dron"
369,549638,1181,2155,the lone ranger,2013,Gore Verbinski,"Johnny Depp, Armie Hammer, William Fichtner, Tom Wilkinson",the equalizer,2014,Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour, Bill Pullman, Melissa Leo, Haley Bennett, David Meunier, Johnny Skourtis, Alex Veadov, Vladimir Kulich, E. Roger Mitchell, James Wilcox, Mike P. O'Dea, Anastasia Mousis, Allen Maldonado, Chris Lemieux, Mike Morrell, Matt Lasky, Shawn Fitzgibbon, Vitaliy Shtabnoy, Timothy John Smith, Timothy Smith, Robert Wahlberg, Steve Sweeney, Owen Burke, Luz Sanchez, John Romauldi, Johnny Messner, Patrick Coppola, William Xifaras, Jenny Johnson, Peter Haydu, Tait Fletcher, Mark Stefanich, Dan Bilzerian, Matthew Leonard, Elisala Baker, Yan Dron"
370,553410,2535,2164,little evil,2017,Eli Craig,"Evangeline Lilly, Owen Atlas, Adam Scott, Marcus Terrell Smith",little evil,2017,Eli Craig,"Adam Scott, Evangeline Lilly, Bridget Everett, Clancy Brown, Owen Atlas, Sally Field, Tyler Labine, Carla Gallo, Kyle Bornheimer, Donald Faison, Chris D'Elia, Kim Evans, Hank Harris, Bradley Williams, Sasha Craig, Schuyler Whitesell, Schuyler White, Shannon Marie Watts, Debbie Scaletta, Violet Sostaric, Jami Kinton, David Gragg, Roger Conners, Christopher Mele, James Weir, Bryan Geary"
371,554929,710,2177,jeepers creepers iii,2017,Victor Salva,"Stan Shaw, Gabrielle Haugh, Brandon Smith, Meg Foster",jeepers creepers 3,2017,Victor Salva,"Chester Rushing, Gabrielle Haugh, Meg Foster, Ryan Moore, Gina Philips, Justin Hall, Stan Shaw, Brandon Smith, Jonathan Breck"
372,560865,341,2204,the dark tower,2017,Nikolaj Arcel,"Idris Elba, Matthew McConaughey, Tom Taylor, Dennis Haysbert",the dark tower,2017,Nikolaj Arcel,"Idris Elba, Matthew McConaughey, Abbey Lee, Tom Taylor"
373,561024,2731,2204,the gunman,2015,Pierre Morel,"Sean Penn, Idris Elba, Jasmine Trinca, Javier Bardem",the dark tower,2017,Nikolaj Arcel,"Idris Elba, Matthew McConaughey, Abbey Lee, Tom Taylor"
374,564856,2383,2215,diary of a wimpy kid: the long haul,2017,David Bowers,"Jason Drucker, Alicia Silverstone, Tom Everett Scott, Charlie Wright",the killing of a sacred deer,2017,Yorgos Lanthimos,"Nicole Kidman, Colin Farrell, Barry Keoghan, Alicia Silverstone, Raffey Cassidy, Bill Camp, Denise Dal Vera, Sunny Suljic"
375,568876,990,2226,the founder,2016,John Lee Hancock,"Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini",the little hours,2017,Jeff Baena,"Alison Brie, Dave Franco, Kate Micucci, Aubrey Plaza, John C. Reilly, Molly Shannon, Fred Armisen, Jemima Kirke, Nick Offerman, Adam Pally, Jon Gabrus, Lauren Weedman, Paul Weitz, Paul Reiser"
376,569594,587,2234,bad moms,2016,"Jon Lucas, Scott Moore","Mila Kunis, Kathryn Hahn, Kristen Bell, Christina Applegate",bad words,2014,Jason Bateman,"Jason Bateman, Kathryn Hahn, Rohan Chand, Allison Janney, Ben Falcone, Rachael Harris, Philip Baker Hall, Judith Hoag, Beth Grant, Steve Witting, Gwen Parden, Anjul Nigam, Allan Miller, Bob Stephenson, Patricia Belcher, Matthew Zhang, Madison Hu, Michael Patrick McGill, Mychael Bates, Greg Cromer, Kimleigh Smith, Ethan Dizon, Emily Sarah Carlson, Jacquie Barnbrook, Mak Krikscuin, Sofia Nam, Lucky Davis, Terry Shusta, Connor Kalopsis, Amanda Anka, Tanner Goad, William M. Maltz, Gregory Sutton"
