,_id,ltable_movie_no,rtable_movie_no,ltable_movie_name,ltable_movie_year,ltable_movie_director,ltable_movie_star,rtable_movie_name,rtable_movie_year,rtable_movie_director,rtable_movie_star,label
192,302289,190,1172,hacksaw ridge,2016,Mel Gibson,"Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer",hacksaw ridge,2016,Mel Gibson,"Andrew Garfield, Teresa Palmer, Hugo Weaving, Luke Bracey, Sam Worthington, Vince Vaughn, Rachel Griffiths, Nathaniel Buzolic, Richard Roxburgh, Matt Nable, Firass Dirani, Richard Pyros, Jacob Warner (III), Milo Gibson, Darcy Bryce, Roman Guerriero, Michael Sheasby, Jarin Towney, Luke Pegler, Tim McGarry, Ben Mingay, Nico Cortez, Goran D. Kleut, Richard Pratt, Laura Buckton, Harry Greenwood, Damien Thomlinson, Simon Edds, Bill Young, Thatcher McMaster, Charles Jacobs, Dennis Kreusler, Andrew Sears, Jim Robinson, Nathan Baird, Sam E. Wright, Mikael Koski, Troy Pickering, James Moffett, Josh Dean Williams, Andrew Hansch, John Cannon, Georgia Adamson, Craig Reeves, Adrian Twigg, Sean Lynch, Luke McMahon, Bill Thompson, Kazuaki Ono, Eric Taugherbeck, Hayden Geens, Edward Ned Law, Kazuki Yuyama, Daisuka Takeda, Raphael Dubois, Tim Potter, Santo Tripodi, Lawrence Brewer, John Batziolas, Nobuaki Shimamoto, Hiroshi Kasuga (II), Ryuzaburo Naruse, Adam Bowes, Michael Hennessy, Benjamin McCann, Yukihiro Nagashima, Takehiro Abe, Daniel Thone, Nathan Halls, Nicholas Cowey, Charles Upton, Toshiyuki Teramoto, Honsen Haga",1
193,302322,2171,1179,st. vincent,2014,Theodore Melfi,"Bill Murray, Melissa McCarthy, Naomi Watts, Jaeden Lieberher",st. vincent,2014,Ted Melfi,"Bill Murray, Melissa McCarthy, Naomi Watts, Chris O'Dowd, Jaeden Lieberher, Terrence Howard, Kimberly Quinn, Lenny Venito, Nathan Corddry, Dario Barosso, Donna Mitchell, Ann Dowd, Scott Adsit, Reg E. Cathey, Deirdre O'Connell, Ray Iannicelli, Greta Lee, Maria Elena Ramirez, Ron McLarty, Niles Fitch, Emma Fisher, David Iacono, Alexandra Fong, Sade DeMorcy, Gabriel HernÃ­Ã§ndez, Elliott Santiago, Melanie Nicholls-King, Portia, Maria-Christina Oliveras, James Andrew O'Connor, Brian Berrebbi, Brenda Wehle, Frank Wood, Orlagh Cassidy, Larry Gray, Joann Lamneck, Kerry Flanagan, Katharina Damm, Jeff Bowser, Amber Clayton, Fred Evanko, Ron Bush, Tim Wilson, J. Elaine Marcos, David Filippi, Tom Durkin, Richard Ford Grayling, Addison Rose Melfi",1
194,302593,878,1182,dracula untold,2014,Gary Shore,"Luke Evans, Dominic Cooper, Sarah Gadon, Art Parkinson",dracula untold,2014,"Gary Shore , Gary Shore","Luke Evans, Sarah Gadon, Dominic Cooper, Diarmaid Murtagh, Art Parkinson, Charles Dance, Paul Kaye, William Houston, Noah Huntley, Ronan Vibert, Zach McGowan, Ferdinand Kingsley, Joseph Long, Thor Kristjansson, Jakub Gierszal, Joe Benjamin, Paul Bullion, Mish Boyko, Dilan Gwyn, Arkie Reece, Phil Zimmerman, Dominic Borrelli, Tom Benedict Knight, Paul Casar, Stavros Demetraki, Ruth Baxter, Rachel Kennedy, Louise Parker, Glen Barry, Shane McCaffrey, Gary Whelan, Guillaume Meliot, Jason Coalter, Colan Currin, John Friel, Andrew Laverty, Matthew Akerfeldt, Chris Cherry, Eugene Furphy, Graham Hutton, Chris Keenan, Don Gordon Bell, Graham Cave, Norman Coates, Xander Duffy, Ann Louise Bresnaham, Charlene Gleeson, Ann O'Connor, Gretta Shore, Hunter Boland, Maria Laird, Aodhan McGowan",1
195,302617,297,1183,what happened to monday,2017,Tommy Wirkola,"Noomi Rapace, Glenn Close, Willem Dafoe, Marwan Kenzari",what happened to monday,2017,Tommy Wirkola,"Noomi Rapace, Willem Dafoe, Glenn Close, Robert Wagner, Marwan Kenzari",1
196,302670,2479,1187,maurice,1987,James Ivory,"James Wilby, Rupert Graves, Hugh Grant, Denholm Elliott",maurice,1987,James Ivory,"James Wilby, Hugh Grant, Rupert Graves, Denholm Elliott, Simon Callow, Billie Whitelaw, Ben Kingsley, Judy Parfitt, Phoebe Nicholls, Mark Tandy, Helena Michell, Kitty Aldridge, Patrick Godfrey, Michael Jenn, Barry Foster, Peter Eyre, Catherine Rabett, Orlando Wells, Helena Bonham Carter, Mark Payton, Gerald McArthur, Miles Richarson, Maria Britneva, Mathew Sim, John Elmes, Alan Foss, Philip Fox, Olwen Griffiths, Chris Hunter, Breffni McKenna, Phillada Sewell, Matthew Sim, Harriet Thorpe, Julian Wadham, Philada Sewell, Richard Warner, Andrew St. Clair, Alan Whybrow, Rick Warner",1
197,304263,965,1190,the layover,2017,William H. Macy,"Kate Upton, Alexandra Daddario, Matt Barr, Matt Jones",the layover,2017,William H. Macy,"Kate Upton, Alexandra Daddario, Matt Barr, Matt Jones (XLVIII), Kal Penn, Molly Shannon, Rob Corddry",1
198,304311,1101,1190,the choice,2016,Ross Katz,"Benjamin Walker, Teresa Palmer, Alexandra Daddario, Maggie Grace",the layover,2017,William H. Macy,"Kate Upton, Alexandra Daddario, Matt Barr, Matt Jones (XLVIII), Kal Penn, Molly Shannon, Rob Corddry",0
199,312150,2594,1249,wilson,2017,Craig Johnson,"Woody Harrelson, Sandy Oian-Thomas, Shaun Brown, James Robert Miller",wilson,2017,Craig Johnson,"Woody Harrelson, Laura Dern, Cheryl Hines, David Warshofsky, Isabella Amara, Judy Greer",1
200,312201,85,1250,the disaster artist,2017,James Franco,"James Franco, Dave Franco, Ari Graynor, Seth Rogen",the vault,2017,Dan Bush,"James Franco, Taryn Manning, Francesca Eastwood, Scott Haze, Q'Orianka Kilcher, Jeff Gum, Clifton Collins Jr.",0
201,312795,1447,1250,the longest ride,2015,George Tillman Jr.,"Scott Eastwood, Britt Robertson, Alan Alda, Jack Huston",the vault,2017,Dan Bush,"James Franco, Taryn Manning, Francesca Eastwood, Scott Haze, Q'Orianka Kilcher, Jeff Gum, Clifton Collins Jr.",0
202,312838,1577,1250,the vault,2017,Dan Bush,"James Franco, Scott Haze, Taryn Manning, Francesca Eastwood",the vault,2017,Dan Bush,"James Franco, Taryn Manning, Francesca Eastwood, Scott Haze, Q'Orianka Kilcher, Jeff Gum, Clifton Collins Jr.",1
203,314396,2991,1258,the polka king,2017,Maya Forbes,"Jack Black, Jenny Slate, Jason Schwartzman, Jacki Weaver",the polka king,2017,"Maya Forbes, Wallace Wolodarsky","Jack Black, Jenny Slate, Jason Schwartzman, Jacki Weaver, JB Smoove, Kati Salowsky, Vanessa Bayer, Willie Garson",1
204,315810,264,1266,the martian,2015,Ridley Scott,"Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara",the zookeeper's wife,2017,Niki Caro,"Jessica Chastain, Daniel BrÃ­_hl, Johan Heldenbergh, Michael McElhatton, Iddo Goldberg, Shira Haas",0
205,317387,1370,1268,office christmas party,2016,"Josh Gordon, Will Speck","Jason Bateman, Olivia Munn, T.J. Miller, Jennifer Aniston",office christmas party,2016,"Will Speck, Josh Gordon","Jennifer Aniston, Jason Bateman, T.J. Miller, Kate McKinnon, Randall Park, Olivia Munn, Jillian Bell, Rob Corddry, Vanessa Bayer, Sam Richardson, Jamie Chung, Courtney B. Vance, Karan Soni",1
206,318297,640,1271,grown ups 2,2013,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade",grown ups 2,2013,Dennis Dugan,"Kevin James, Adam Sandler, Chris Rock, David Spade, Salma Hayek, Maya Rudolph, Maria Bello, Nick Swardson, Steve Buscemi, Colin Quinn, Tim Meadows, Jon Lovitz, Shaquille O'Neal, Alexander Ludwig, Georgia Engel, Peter Dante, Oliver Hudson, Allen Covert, Steve Austin, Milo Ventimiglia, Jake Goldberg, Cameron Boyce, Alexys Nycole Sanchez, Ada-Nicole Sanger, Frank Gingerich, Morgan Gingerich, Nadji Jeter, China Anne McClain, Kaleo Elam, Cheri Oteri, Ellen Cleghorne, April Rose Pengilly, Dan Patrick, Ebony Jo-Ann, Halston Sage, Norm Crosby, Melanie Hutsell, Dennis Dugan, Jonathan Loughran, Jackie Sandler, Sadie Sandler, Sunny Sandler, Chris Berman, Michael R. Kay, Kevin Grady, Kris Murrell, Patty Ross, Alyson Michalka, Paulina Gretzky, Kamil McFadden, Alex Poncio, Andy Samberg, Jorma Taccone, Bobby Moynihan, Akiva Schaffer, Taran Killam, Paul Brittain, Erin Heatherton, Patrick Schwarzenegger, David Henrie, Chris Titone, Jared Sandler, Jimmy Tatro, Johnny Cocktails, Valerie Gervickas, Lisa Garcia, Lizet Garcia, Tanya Akim, Robert Harvey, Billy Concha, Celeste Capasso",1
207,319152,2094,1277,beach rats,2017,Eliza Hittman,"Harris Dickinson, Madeline Weinstein, Kate Hodge, Neal Huff",beach rats,2017,Eliza Hittman,"Harris Dickinson, Madeline Weinstein, Kate Hodge, Erik Potempa",1
208,320042,283,1281,happy death day,2017,Christopher Landon,"Jessica Rothe, Israel Broussard, Ruby Modine, Charles Aitken",happy death day,2017,Christopher Landon,"Jessica Rothe, Israel Broussard, Ruby Modine, Rachel Matthews, Charles Aitken, Laura Clifton",1
209,322106,2440,1291,winter's tale,2014,Akiva Goldsman,"Colin Farrell, Jessica Brown Findlay, Russell Crowe, Jennifer Connelly",dolphin tale 2,2014,Charles Martin Smith,"Harry Connick Jr., Ashley Judd, Nathan Gamble, Morgan Freeman, Kris Kristofferson, Cozi Zuehlsdorff, Bethany Hamilton, Austin Stowell, Austin Highsmith, Charles Martin Smith, Juliana Harkavy, Betsy Landin, Tom Nowicki, Denis Arndt, Carlos Gomez, Julia Jordan, Lee Karlinsky, Kim Ostrenko, Tom Hillmann, Amanda Jane Powell, Taylor Blackwell, Denisea Wilson, Lauren O'Quinn, Alana Cavanaugh, Madison Absher, Cassie Livingston, Tamara Austin, Jessica Fernandez, Amy Jordan, Damon Sementelli, Jennifer De Castroverde, Jim Coleman, Raheem Babalola, David Yates, Abby Stone, Camelle Zodrow, Hope Hanafin",0
210,323151,60,1293,the death of stalin,2017,Armando Iannucci,"Steve Buscemi, Simon Russell Beale, Jeffrey Tambor, Andrea Riseborough",battle of the sexes,2017,"Jonathan Dayton, Valerie Faris","Emma Stone, Steve Carell, Andrea Riseborough, Sarah Silverman, Elisabeth Shue",0
211,323326,366,1293,battle of the sexes,2017,"Jonathan Dayton, Valerie Faris","Emma Stone, Steve Carell, Andrea Riseborough, Sarah Silverman",battle of the sexes,2017,"Jonathan Dayton, Valerie Faris","Emma Stone, Steve Carell, Andrea Riseborough, Sarah Silverman, Elisabeth Shue",1
212,326894,1674,1298,ouija: origin of evil,2016,Mike Flanagan,"Elizabeth Reaser, Lulu Wilson, Annalise Basso, Henry Thomas",ouija: origin of evil,2016,Mike Flanagan,"Annalise Basso, Elizabeth Reaser, Lulu Wilson, Henry Thomas, Parker Mack, Halle Charlton, Alexis G. Zall, Doug Jones, Kate Siegel, Sam Anderson, Chelsea Gonzalez, Lincoln Melcher, Nicholas Keenan, Michael Weaver, Ele Keats, Eve Gordon, Chad Heffelfinger, Nina Mansker, John Prosky, Lin Shaye",1
213,330922,397,1316,the lost city of z,2016,James Gray,"Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland",queen of the desert,2017,Werner Herzog,"Nicole Kidman, James Franco, Damian Lewis, Robert Pattinson, Jay Abdo, Jenny Agutter, David Calder, Christopher Fulford, Holly Earl, Mark Lewis Jones, Beth Goddard, Sophie Linfield, Younes Benzakour, Nadia Niazi",0
